Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
15.0,5.0,2022,1,7,118.54,257.73,3.57,24.06,1.24,33.43,295.0
21.0,11.0,2024,0,4,119.66,432.46,42.33,54.18,1.85,35.28,354.0
27.0,10.0,2024,1,7,117.78,371.78,61.47,49.69,1.37,44.82,323.0
5.0,4.0,2024,0,5,66.6,172.58,11.18,26.87,0.63,50.86,161.0
5.0,9.0,2022,0,1,29.88,87.24,7.59,2.47,0.8,17.08,82.0
4.0,1.0,2022,0,2,253.02,318.67,22.38,7.87,2.83,28.56,413.0
11.0,1.0,2022,0,2,93.69,113.94,6.91,7.52,1.22,34.49,231.0
11.0,10.0,2022,0,2,19.98,66.91,10.89,10.66,0.63,34.88,45.0
1.0,6.0,2021,0,2,44.7,108.78,30.79,5.15,0.5,66.73,107.0
24.0,12.0,2024,0,2,88.98,327.4,49.58,62.53,1.29,32.15,303.0
7.0,4.0,2021,0,3,78.51,293.92,9.0,9.48,0.57,39.89,304.0
16.0,6.0,2021,0,3,41.19,92.69,51.18,8.11,0.78,39.87,123.0
7.0,10.0,2024,0,1,32.6,126.42,44.17,42.23,0.39,30.17,109.0
3.0,8.0,2022,0,3,45.03,139.59,10.27,26.28,0.73,52.95,125.0
31.0,5.0,2021,0,1,44.64,125.09,64.13,5.12,0.93,24.98,113.0
20.0,3.0,2023,0,1,49.47,174.17,23.02,17.62,0.84,48.81,174.0
31.0,8.0,2023,0,4,49.55,158.37,15.03,18.97,0.5,26.31,137.0
10.0,8.0,2022,0,3,42.77,93.29,37.23,26.39,0.57,48.26,87.0
3.0,4.0,2024,0,3,97.29,229.66,14.65,26.29,0.87,59.09,146.0
6.0,11.0,2024,0,3,130.42,418.21,72.28,63.23,1.55,9.85,355.0
17.0,9.0,2024,0,2,41.81,151.99,42.71,39.9,0.62,23.8,144.0
15.0,2.0,2024,0,4,73.63,296.8,40.37,23.15,0.77,28.9,234.0
5.0,10.0,2023,0,4,62.15,202.03,28.15,19.48,0.84,73.09,171.0
1.0,7.0,2021,0,4,56.77,289.39,34.89,7.66,0.47,21.55,302.0
27.0,6.0,2021,1,7,72.04,166.74,47.39,9.44,1.02,54.78,150.0
3.0,1.0,2023,0,2,233.25,368.79,11.94,7.57,0.95,47.16,384.0
22.0,2.0,2022,0,2,115.54,268.96,40.22,8.11,1.43,33.75,254.0
28.0,4.0,2021,0,3,237.88,432.09,80.54,28.81,2.82,43.01,321.0
8.0,2.0,2023,0,3,52.13,184.39,6.67,9.59,0.75,21.53,139.0
24.0,11.0,2024,1,7,92.24,331.67,44.93,56.4,2.01,31.83,297.0
17.0,8.0,2024,0,6,13.74,59.91,46.1,35.45,0.6,29.61,58.0
24.0,1.0,2023,0,2,94.94,193.3,15.85,6.38,1.05,9.13,242.0
18.0,2.0,2024,1,7,80.42,323.0,58.36,24.17,1.66,27.38,287.0
4.0,2.0,2021,0,4,134.66,170.25,114.15,3.13,1.04,36.53,352.0
22.0,11.0,2021,0,1,151.6,244.82,10.39,9.0,0.9,34.58,324.0
16.0,7.0,2024,0,2,29.96,72.82,46.26,36.63,0.9,40.61,58.0
5.0,12.0,2021,1,7,231.11,289.04,12.29,6.44,3.3,32.11,345.0
7.0,7.0,2022,0,4,38.57,93.44,21.76,24.26,0.44,26.74,97.0
6.0,9.0,2021,0,1,66.59,94.23,33.14,8.55,1.56,45.01,126.0
28.0,8.0,2024,0,3,12.69,49.17,43.07,37.83,0.56,29.94,54.0
4.0,7.0,2023,0,2,47.58,116.78,18.27,8.41,0.76,43.52,118.0
18.0,1.0,2021,0,1,232.16,318.1,210.31,14.92,1.32,28.17,401.0
12.0,10.0,2024,1,6,43.78,190.88,38.04,39.48,0.47,31.87,162.0
4.0,1.0,2021,0,1,89.55,132.08,153.98,10.42,1.01,49.19,207.0
26.0,5.0,2021,1,3,65.16,149.77,50.38,6.57,0.67,49.01,137.0
26.0,3.0,2022,0,6,91.62,274.15,11.3,11.24,0.75,12.77,220.0
20.0,3.0,2024,0,3,108.1,268.26,32.93,22.81,0.85,37.18,242.0
12.0,7.0,2024,0,5,24.39,100.11,48.13,35.98,0.74,37.25,99.0
28.0,10.0,2021,0,4,166.48,216.63,62.98,5.41,2.07,42.99,168.0
13.0,3.0,2024,0,3,76.89,213.65,29.48,21.97,0.78,34.42,173.0
10.0,10.0,2023,0,2,76.83,249.3,28.16,21.35,1.13,45.64,205.0
25.0,5.0,2022,0,3,91.29,183.36,9.19,4.57,1.2,34.18,202.0
12.0,5.0,2022,0,4,92.97,153.91,2.81,12.21,0.91,49.35,194.0
11.0,4.0,2022,0,1,307.96,358.11,12.42,100.35,1.13,19.98,295.0
11.0,1.0,2023,0,3,189.83,310.04,16.15,4.9,1.17,10.61,288.0
29.0,12.0,2024,1,7,31.21,139.75,27.01,65.94,0.57,35.88,142.0
4.0,6.0,2021,0,5,96.17,183.07,43.35,5.0,1.0,68.98,216.0
9.0,9.0,2022,0,5,64.96,124.14,9.32,6.21,0.7,67.66,150.0
20.0,1.0,2021,0,3,159.91,193.78,142.41,7.45,0.88,31.96,322.0
18.0,11.0,2024,0,1,306.91,844.09,45.09,58.12,1.96,29.78,468.0
25.0,3.0,2023,0,6,29.67,75.46,25.88,29.63,0.69,91.06,163.0
1.0,10.0,2024,0,2,43.28,173.74,37.98,41.38,0.45,22.37,136.0
10.0,5.0,2021,0,1,51.08,94.49,58.1,4.82,0.81,45.97,88.0
12.0,1.0,2022,0,3,115.58,161.38,8.93,7.75,1.49,30.86,179.0
26.0,5.0,2022,0,4,105.62,233.43,12.82,6.56,1.23,49.55,222.0
1.0,7.0,2022,0,5,38.9,56.38,31.54,13.72,0.74,18.94,64.0
29.0,4.0,2024,0,1,94.34,244.66,6.1,30.67,0.71,103.21,218.0
20.0,11.0,2021,0,6,227.78,279.56,11.58,8.46,1.86,16.4,401.0
23.0,2.0,2023,0,4,55.57,206.67,15.28,7.9,0.84,15.67,196.0
15.0,8.0,2021,1,7,37.18,123.48,20.61,8.16,0.43,68.21,119.0
5.0,1.0,2021,0,2,54.06,55.54,122.66,9.7,0.64,48.88,149.0
26.0,4.0,2023,0,3,65.63,283.41,51.43,61.84,1.46,88.84,234.0
25.0,11.0,2021,0,4,299.04,389.01,13.27,9.34,3.45,30.88,429.0
3.0,4.0,2023,0,1,44.98,167.74,28.57,42.26,0.91,52.05,138.0
18.0,2.0,2023,1,6,97.82,344.78,18.72,7.66,1.55,14.02,326.0
5.0,8.0,2024,0,1,13.15,49.18,33.04,37.03,0.45,35.48,46.0
21.0,5.0,2024,0,2,125.18,288.44,31.5,31.01,1.18,29.09,275.0
12.0,7.0,2022,0,2,37.22,76.49,18.98,24.0,0.71,66.51,84.0
24.0,6.0,2024,0,1,62.69,127.83,52.71,33.27,1.18,55.03,116.0
6.0,1.0,2021,0,3,155.59,180.14,142.71,10.29,1.18,44.47,252.0
15.0,3.0,2024,0,5,53.91,154.0,23.63,22.09,0.49,37.75,133.0
28.0,6.0,2024,0,5,203.38,305.14,55.51,36.08,1.12,34.26,192.0
10.0,9.0,2024,0,2,23.61,84.44,45.25,54.9,0.66,26.52,91.0
19.0,10.0,2024,0,6,80.8,290.52,57.74,47.24,0.99,30.53,252.0
19.0,12.0,2024,0,4,136.81,652.17,48.65,61.43,3.62,34.59,460.0
25.0,12.0,2024,1,3,86.53,344.46,52.68,62.88,1.34,29.75,309.0
12.0,8.0,2024,0,1,13.45,44.33,35.31,34.65,0.47,26.16,45.0
28.0,6.0,2023,0,3,34.89,94.81,17.02,15.5,0.58,46.23,79.0
11.0,3.0,2021,1,4,121.57,233.44,56.27,4.22,1.7,31.05,262.0
8.0,10.0,2023,1,7,54.65,199.79,28.07,19.77,0.97,63.94,178.0
9.0,6.0,2021,0,3,75.25,350.71,42.75,6.91,0.55,23.66,348.0
6.0,6.0,2021,1,7,56.79,205.74,41.7,7.0,0.59,25.73,181.0
27.0,11.0,2024,0,3,81.01,294.8,32.29,57.48,1.22,34.98,241.0
16.0,2.0,2024,0,5,64.35,264.88,41.3,23.26,0.71,28.82,245.0
4.0,3.0,2024,0,1,46.01,134.41,27.51,22.96,0.42,30.43,140.0
25.0,3.0,2024,1,1,83.81,185.35,19.26,23.15,0.74,37.95,193.0
20.0,5.0,2023,0,6,67.76,226.87,14.89,20.31,1.09,19.41,187.0
6.0,1.0,2022,0,4,110.85,130.96,13.86,6.93,1.81,27.78,290.0
8.0,10.0,2021,0,5,68.31,179.04,40.87,7.71,1.13,38.89,138.0
28.0,5.0,2023,1,7,62.5,198.44,28.48,7.18,1.49,27.44,115.0
26.0,9.0,2021,1,7,39.82,60.03,28.45,8.19,0.53,13.06,55.0
23.0,8.0,2024,0,5,13.71,53.82,42.17,35.83,0.55,28.32,63.0
1.0,12.0,2021,0,3,276.66,358.33,11.05,6.14,2.27,32.43,391.0
12.0,12.0,2024,0,4,77.01,297.75,48.59,59.84,1.1,26.56,273.0
26.0,9.0,2022,0,1,22.03,74.46,6.69,9.78,0.61,18.05,66.0
27.0,6.0,2024,0,4,45.35,68.22,49.09,34.34,0.89,29.85,75.0
16.0,2.0,2021,0,2,182.05,278.41,116.09,3.87,1.81,25.66,344.0
29.0,4.0,2021,0,4,215.39,406.98,58.3,25.24,2.21,60.72,303.0
20.0,8.0,2024,0,2,20.47,43.14,43.62,36.12,0.55,27.09,55.0
30.0,7.0,2021,0,5,29.74,40.97,56.05,7.3,0.8,29.3,53.0
9.0,12.0,2024,0,1,48.64,167.16,45.01,59.17,0.79,46.66,152.0
24.0,2.0,2024,0,6,54.35,217.67,39.03,25.35,0.56,29.45,175.0
4.0,7.0,2022,0,1,87.32,133.14,40.7,13.47,1.1,34.59,101.0
27.0,7.0,2021,0,2,42.01,54.57,21.44,7.0,0.68,29.48,90.0
24.0,9.0,2023,1,7,40.25,122.12,28.2,19.27,0.98,52.99,106.0
16.0,1.0,2022,1,7,132.88,227.47,5.1,1.69,1.15,14.04,310.0
31.0,12.0,2021,0,5,181.46,287.61,19.89,2.33,1.1,11.41,315.0
31.0,7.0,2024,0,3,23.45,83.63,33.17,36.39,0.52,47.8,95.0
18.0,3.0,2022,1,5,154.35,218.23,22.48,9.65,1.4,5.08,301.0
15.0,1.0,2022,0,6,92.03,175.69,3.48,2.06,0.9,14.59,205.0
21.0,9.0,2023,0,4,35.42,108.59,29.36,19.18,0.64,61.19,103.0
4.0,9.0,2022,1,7,32.85,87.52,6.93,5.72,0.39,46.99,85.0
6.0,2.0,2023,0,1,98.1,351.38,20.42,12.99,3.29,11.67,268.0
9.0,2.0,2022,0,3,83.57,130.3,17.15,10.19,1.19,34.29,221.0
11.0,9.0,2022,1,7,30.37,78.38,7.26,6.25,0.56,64.99,72.0
4.0,5.0,2022,0,3,147.9,352.92,21.57,26.81,0.93,42.71,324.0
24.0,3.0,2021,0,3,90.99,181.2,69.97,6.43,0.88,37.66,177.0
24.0,1.0,2022,0,1,136.58,162.36,9.6,8.39,2.2,19.4,283.0
28.0,10.0,2024,0,1,85.48,264.15,47.52,47.59,0.91,44.31,236.0
17.0,12.0,2022,0,6,93.08,353.73,48.36,6.0,1.44,44.17,314.0
13.0,4.0,2024,0,6,71.35,202.41,12.02,27.64,1.0,68.71,195.0
3.0,9.0,2021,0,5,37.07,45.6,27.61,8.53,0.56,33.25,53.0
25.0,7.0,2022,0,1,25.0,50.31,3.51,26.16,0.35,54.92,56.0
23.0,10.0,2021,0,6,155.65,150.32,73.91,5.31,2.39,26.86,151.0
10.0,1.0,2021,1,7,131.57,180.38,93.31,9.92,0.69,51.96,284.0
4.0,1.0,2024,0,4,86.58,349.36,21.61,22.18,1.02,19.19,324.0
12.0,3.0,2023,1,7,47.92,218.34,21.74,14.95,0.92,48.53,183.0
17.0,10.0,2022,0,1,46.12,244.02,4.51,11.0,0.7,17.79,185.0
16.0,9.0,2023,0,6,22.31,54.13,18.47,19.33,0.61,44.78,70.0
15.0,9.0,2024,1,7,22.27,95.03,24.92,38.54,0.41,23.24,86.0
22.0,10.0,2021,0,5,77.12,160.18,46.57,5.88,0.93,29.88,165.0
29.0,8.0,2022,0,1,43.31,133.05,15.03,25.81,0.42,54.95,130.0
28.0,9.0,2024,0,6,17.22,66.29,35.21,40.09,0.34,20.35,62.0
22.0,10.0,2024,0,2,97.62,337.68,45.57,47.41,0.96,24.08,307.0
24.0,2.0,2022,0,4,170.05,282.62,51.29,10.08,1.32,14.35,329.0
25.0,4.0,2021,1,7,104.76,189.19,48.65,16.52,1.69,60.4,217.0
9.0,4.0,2021,0,5,62.75,170.91,55.34,15.53,1.36,55.41,157.0
18.0,4.0,2023,0,2,91.54,317.65,37.15,72.28,1.19,22.88,230.0
6.0,7.0,2021,0,2,51.65,250.51,30.24,7.64,0.46,49.21,239.0
23.0,4.0,2023,1,7,31.18,105.16,11.51,34.84,0.4,93.04,118.0
4.0,9.0,2021,0,6,40.13,50.65,32.74,8.71,1.3,29.96,46.0
28.0,7.0,2024,1,7,20.81,76.48,33.92,36.31,0.62,28.52,72.0
4.0,11.0,2021,1,4,271.39,380.04,67.34,8.67,2.88,30.77,394.0
27.0,9.0,2021,0,1,57.51,110.73,32.18,8.25,0.7,12.82,102.0
17.0,8.0,2021,0,2,55.64,159.26,18.93,7.48,0.63,53.16,144.0
18.0,5.0,2024,0,6,133.35,284.89,33.85,33.22,0.7,38.31,291.0
18.0,11.0,2021,0,4,252.34,311.51,11.22,8.7,2.81,32.82,361.0
8.0,11.0,2021,0,1,209.2,338.15,81.6,8.44,2.45,37.4,287.0
13.0,7.0,2024,0,6,27.19,98.64,49.9,36.22,0.95,40.64,96.0
16.0,4.0,2022,0,6,95.16,254.7,10.89,15.89,0.68,65.24,257.0
11.0,3.0,2023,0,6,60.07,242.02,18.0,13.62,0.87,43.94,217.0
17.0,10.0,2024,0,4,84.94,319.32,53.36,47.1,0.98,30.78,291.0
8.0,8.0,2021,1,7,49.75,64.09,28.19,7.55,0.89,13.84,88.0
7.0,6.0,2021,0,1,73.07,192.02,49.94,7.69,0.88,30.31,158.0
17.0,11.0,2023,0,5,126.56,410.13,191.88,24.32,2.25,10.08,383.0
27.0,1.0,2024,0,6,72.18,299.85,35.5,20.61,0.81,28.03,267.0
22.0,5.0,2023,0,1,69.33,252.19,28.79,13.44,1.12,32.49,182.0
11.0,3.0,2024,0,1,76.01,211.71,34.02,21.78,0.82,35.36,175.0
1.0,2.0,2024,0,4,31.84,108.25,31.22,21.48,0.71,26.98,145.0
31.0,10.0,2022,0,1,286.46,520.95,51.09,14.99,2.86,14.66,409.0
7.0,1.0,2021,0,4,118.39,131.18,98.87,9.81,0.73,48.6,288.0
7.0,4.0,2024,1,7,129.98,358.42,16.13,26.96,1.28,29.7,229.0
25.0,8.0,2022,0,4,36.47,100.36,15.08,25.8,0.69,62.87,77.0
17.0,3.0,2021,0,3,138.5,358.46,40.96,4.95,0.78,20.82,352.0
9.0,1.0,2023,0,1,250.18,377.71,11.19,5.84,2.31,57.32,412.0
5.0,1.0,2023,0,4,163.96,274.04,13.22,8.45,1.11,38.09,318.0
30.0,8.0,2021,1,1,25.59,46.3,25.33,7.63,0.42,32.27,67.0
14.0,4.0,2024,1,7,47.93,121.73,9.4,27.72,0.67,41.3,130.0
18.0,12.0,2023,0,1,77.88,285.03,70.47,21.01,1.03,29.25,268.0
11.0,11.0,2021,0,4,369.13,434.16,150.17,7.75,3.93,20.39,425.0
3.0,8.0,2024,0,6,18.74,61.84,35.11,37.14,0.52,33.3,62.0
22.0,5.0,2024,0,3,95.22,201.08,34.0,30.52,3.81,28.28,227.0
16.0,1.0,2024,0,2,125.14,451.87,48.65,21.62,1.78,28.02,331.0
7.0,8.0,2024,0,3,11.7,39.39,35.57,36.78,0.48,29.37,47.0
20.0,6.0,2021,1,7,27.82,34.46,44.46,8.03,0.42,30.84,54.0
10.0,5.0,2023,0,3,69.17,224.55,24.71,28.89,0.73,70.35,184.0
23.0,6.0,2021,0,3,95.84,285.92,50.92,8.78,0.8,33.85,236.0
27.0,12.0,2024,0,5,58.43,249.17,41.69,65.89,0.99,36.25,263.0
19.0,7.0,2021,0,1,38.03,15.72,28.7,8.94,0.41,22.44,41.0
13.0,2.0,2023,0,1,38.75,132.75,8.13,10.09,0.47,36.7,124.0
23.0,1.0,2024,0,2,115.04,429.22,45.74,22.03,1.23,27.73,378.0
24.0,9.0,2024,0,2,73.68,177.62,99.14,53.89,0.53,28.32,146.0
21.0,10.0,2023,0,6,78.96,236.51,42.05,20.0,0.88,11.34,159.0
6.0,5.0,2021,0,4,54.81,163.54,36.33,4.5,0.62,47.71,128.0
17.0,2.0,2022,0,4,110.41,200.28,32.95,6.58,0.97,23.53,250.0
27.0,12.0,2021,0,1,158.89,245.79,13.82,3.26,1.13,10.29,279.0
26.0,12.0,2021,1,7,432.88,595.44,26.81,3.25,2.02,7.09,490.0
15.0,5.0,2023,0,1,42.88,172.64,17.22,22.8,0.82,61.53,148.0
8.0,1.0,2022,0,6,48.56,53.88,6.31,6.54,1.1,27.01,90.0
17.0,3.0,2022,0,4,121.13,219.67,24.51,8.59,0.93,6.19,221.0
18.0,8.0,2021,0,3,66.42,167.05,21.59,7.54,0.75,57.0,146.0
9.0,5.0,2023,0,2,61.0,256.02,14.88,24.99,0.87,67.61,208.0
5.0,5.0,2023,1,5,49.72,213.66,21.39,17.75,1.23,38.94,165.0
19.0,10.0,2023,0,4,39.55,115.45,54.33,20.38,0.46,10.73,99.0
19.0,7.0,2024,0,5,31.92,106.91,50.23,37.43,1.17,40.73,98.0
12.0,5.0,2021,0,3,43.88,141.98,40.29,5.94,0.44,45.14,114.0
11.0,4.0,2023,0,2,89.73,389.09,49.18,113.4,1.32,40.67,309.0
25.0,1.0,2022,0,2,117.64,164.14,9.58,8.21,1.96,19.53,207.0
16.0,5.0,2024,0,4,126.34,280.51,27.22,31.57,1.16,35.71,259.0
17.0,7.0,2021,0,6,54.56,117.34,42.77,9.35,0.72,15.47,92.0
29.0,4.0,2023,0,6,58.27,243.75,27.85,17.6,0.83,39.22,209.0
21.0,2.0,2024,0,3,51.62,195.52,29.07,24.21,0.62,28.14,200.0
7.0,9.0,2024,0,6,14.57,58.85,42.02,53.89,0.54,25.89,70.0
22.0,5.0,2022,1,7,125.68,168.44,52.14,83.06,1.21,9.02,268.0
1.0,11.0,2021,0,1,151.11,255.77,97.32,7.55,4.7,28.41,277.0
15.0,5.0,2024,0,3,156.45,321.92,26.59,35.44,1.2,39.86,298.0
17.0,4.0,2021,0,6,51.27,130.61,42.83,2.59,1.23,27.52,142.0
14.0,3.0,2022,0,1,125.69,233.95,31.36,8.64,1.05,5.66,255.0
31.0,8.0,2021,0,2,29.47,39.15,27.81,7.24,0.62,33.01,45.0
30.0,5.0,2023,0,2,28.55,102.42,21.73,10.6,0.84,36.17,102.0
14.0,3.0,2021,1,7,132.36,253.72,39.84,4.11,0.74,30.27,251.0
15.0,12.0,2024,1,7,105.21,379.62,60.5,60.89,1.44,34.37,293.0
5.0,4.0,2021,0,1,76.91,230.03,79.56,20.31,1.81,54.96,188.0
12.0,11.0,2024,0,2,120.36,343.11,39.27,72.47,0.76,27.14,347.0
20.0,4.0,2024,0,6,74.17,194.12,5.48,28.71,0.56,85.99,194.0
17.0,6.0,2021,0,4,49.51,84.06,43.13,7.09,0.95,48.44,85.0
30.0,8.0,2023,0,3,41.92,156.7,21.7,18.72,0.48,9.59,148.0
29.0,7.0,2021,0,4,31.12,60.07,18.29,6.78,0.65,22.73,49.0
16.0,10.0,2021,0,6,145.48,248.36,50.86,8.14,1.85,50.33,273.0
8.0,5.0,2023,0,1,42.7,148.82,22.7,17.29,0.86,44.33,126.0
19.0,8.0,2022,1,5,27.54,53.97,37.69,26.71,0.32,49.43,59.0
25.0,10.0,2024,0,5,66.3,256.32,34.9,47.45,0.74,37.99,229.0
9.0,4.0,2023,1,7,73.4,274.66,30.53,61.71,0.99,49.9,233.0
18.0,12.0,2022,1,7,113.19,413.75,51.33,7.3,1.67,51.19,319.0
10.0,3.0,2021,0,3,91.85,192.7,39.4,3.58,0.74,26.03,205.0
27.0,10.0,2021,0,3,94.53,193.14,55.06,4.99,1.6,45.57,162.0
30.0,4.0,2022,0,6,197.42,290.64,54.05,83.79,1.32,29.18,360.0
7.0,5.0,2022,0,6,169.8,320.74,3.65,28.74,1.45,54.13,335.0
22.0,11.0,2023,0,3,171.23,428.7,133.36,24.19,1.4,10.09,358.0
9.0,4.0,2024,0,2,80.33,209.65,17.74,26.89,0.9,56.1,203.0
19.0,2.0,2024,0,1,60.72,284.13,52.67,23.83,0.66,32.15,241.0
11.0,12.0,2022,1,7,72.24,243.72,45.85,6.12,0.67,28.5,198.0
8.0,4.0,2022,0,5,192.1,257.82,12.84,60.07,0.78,42.91,313.0
16.0,8.0,2023,0,3,35.68,115.67,43.32,19.71,0.69,25.42,63.0
3.0,1.0,2024,0,3,81.94,308.65,26.41,22.01,1.03,19.65,246.0
20.0,2.0,2023,0,1,98.36,342.75,24.1,11.16,1.84,15.93,337.0
6.0,4.0,2021,0,2,172.48,455.72,18.73,17.63,1.18,47.63,377.0
18.0,1.0,2024,0,4,95.82,374.84,42.41,22.18,1.19,27.17,313.0
6.0,6.0,2022,0,1,62.83,215.0,35.87,14.24,0.62,57.98,195.0
28.0,8.0,2022,1,7,41.74,126.96,15.02,25.81,0.39,51.03,106.0
24.0,5.0,2023,0,3,33.53,116.51,22.18,22.08,0.79,46.42,148.0
22.0,7.0,2021,0,4,29.84,43.57,23.74,7.65,0.56,58.83,58.0
2.0,7.0,2024,0,2,37.15,129.17,48.37,35.84,0.9,30.18,128.0
30.0,3.0,2023,0,4,53.09,209.82,28.08,45.17,0.89,114.68,182.0
